Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0001,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013448.1_1.fastq.gz,s3://mybucket23443243SRR1013448.1_2.fastq.gz
vp_0002,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013449.1_1.fastq.gz,s3://mybucket23443243SRR1013449.1_2.fastq.gz
vp_0003,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013450.1_1.fastq.gz,s3://mybucket23443243SRR1013450.1_2.fastq.gz
vp_0004,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013451.1_1.fastq.gz,s3://mybucket23443243SRR1013451.1_2.fastq.gz
vp_0005,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013452.1_1.fastq.gz,s3://mybucket23443243SRR1013452.1_2.fastq.gz
vp_0006,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013453.1_1.fastq.gz,s3://mybucket23443243SRR1013453.1_2.fastq.gz
vp_0007,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013454.1_1.fastq.gz,s3://mybucket23443243SRR1013454.1_2.fastq.gz
vp_0008,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013455.1_1.fastq.gz,s3://mybucket23443243SRR1013455.1_2.fastq.gz
vp_0009,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013456.1_1.fastq.gz,s3://mybucket23443243SRR1013456.1_2.fastq.gz
vp_0010,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013457.1_1.fastq.gz,s3://mybucket23443243SRR1013457.1_2.fastq.gz
vp_0011,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013458.1_1.fastq.gz,s3://mybucket23443243SRR1013458.1_2.fastq.gz
vp_0012,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013459.1_1.fastq.gz,s3://mybucket23443243SRR1013459.1_2.fastq.gz
vp_0013,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013460.1_1.fastq.gz,s3://mybucket23443243SRR1013460.1_2.fastq.gz
vp_0014,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013461.1_1.fastq.gz,s3://mybucket23443243SRR1013461.1_2.fastq.gz
vp_0015,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013462.1_1.fastq.gz,s3://mybucket23443243SRR1013462.1_2.fastq.gz
vp_0016,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013463.1_1.fastq.gz,s3://mybucket23443243SRR1013463.1_2.fastq.gz
vp_0017,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013464.1_1.fastq.gz,s3://mybucket23443243SRR1013464.1_2.fastq.gz
vp_0018,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013465.1_1.fastq.gz,s3://mybucket23443243SRR1013465.1_2.fastq.gz
vp_0019,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013466.1_1.fastq.gz,s3://mybucket23443243SRR1013466.1_2.fastq.gz
vp_0020,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1013467.1_1.fastq.gz,s3://mybucket23443243SRR1013467.1_2.fastq.gz
vp_0021,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207230.1_1.fastq.gz,s3://mybucket23443243SRR10207230.1_2.fastq.gz
vp_0022,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207231.1_1.fastq.gz,s3://mybucket23443243SRR10207231.1_2.fastq.gz
vp_0023,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207232.1_1.fastq.gz,s3://mybucket23443243SRR10207232.1_2.fastq.gz
vp_0024,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207233.1_1.fastq.gz,s3://mybucket23443243SRR10207233.1_2.fastq.gz
vp_0025,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207234.1_1.fastq.gz,s3://mybucket23443243SRR10207234.1_2.fastq.gz
vp_0026,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207235.1_1.fastq.gz,s3://mybucket23443243SRR10207235.1_2.fastq.gz
vp_0027,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207236.1_1.fastq.gz,s3://mybucket23443243SRR10207236.1_2.fastq.gz
vp_0028,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207237.1_1.fastq.gz,s3://mybucket23443243SRR10207237.1_2.fastq.gz
vp_0029,PAIRED,ILLUMINA,,s3://mybucket23443243SRR10207238.1_1.fastq.gz,s3://mybucket23443243SRR10207238.1_2.fastq.gz
