Experiment,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,LibraryName,SampleType,,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,dbgap_study_accession,Consent,RunHash,ReadHash
vp_0001,7/04/2021 7:54,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP313767,PRJNA720252,720252,SRS8653835,SAMN18644292,SRA1215841,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,ZHEJIANG A&F UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14161894.1_1.fastq.gz,s3://mybucket23443243/SRR14161894.1_2.fastq.gz,3923964,1177189200,3923964,300,360,,HZ_1.fq,simple,,HZ_1.fq,,,,,,,no,,,,,,public,1A2B864A5DDC622917A57941C3BEE529,2C2747A56B613C9D4325F5CC974BC885
vp_0002,7/04/2021 7:54,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP313767,PRJNA720252,720252,SRS8653836,SAMN18644294,SRA1215841,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,ZHEJIANG A&F UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14161893.1_1.fastq.gz,s3://mybucket23443243/SRR14161893.1_2.fastq.gz,3379002,1013700600,3379002,300,311,,VPA0369_1.fq,simple,,VPA0369_1.fq,,,,,,,no,,,,,,public,CAD12979B3C49699200F0484442F6B05,6698762090D8749A365DC95DEA206484
vp_0003,31/07/2016 0:00,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiScanSQ,,SRP059990,PRJNA288417,288417,SRS973741,SAMN03799492,SRA274757,RNA-Seq,unspecified,TRANSCRIPTOMIC,,ZHEJIANG GONGSHANG UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR2085095.1_1.fastq.gz,s3://mybucket23443243/SRR2085095.1_2.fastq.gz,8917529,1801340858,8917529,202,1181,,,simple,,Vp-Res,,,,,,,no,,,,,,public,D9361B229437033DD3965CBB4C0F0D5D,9B96FCDD0CEE435DC8FDF5D937525F35
vp_0004,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101691,SAMN19460342,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692758.1_1.fastq.gz,s3://mybucket23443243/SRR14692758.1_2.fastq.gz,12787505,3861826510,12787505,302,1155,,A-1,simple,,A-1,,,,,,,no,,,,,,public,870658520830FCB640299F828DBDFBC8,EF62FD5A69D831533533E01037703480
vp_0005,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101694,SAMN19460343,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692757.1_1.fastq.gz,s3://mybucket23443243/SRR14692757.1_2.fastq.gz,11258485,3400062470,11258485,302,1017,,A-2,simple,,A-2,,,,,,,no,,,,,,public,7FD06586DA72ED10FAE650E1D1AA1E76,2FFFEA839FBAAD1DE92004504DAA298F
vp_0006,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101692,SAMN19460344,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692756.1_1.fastq.gz,s3://mybucket23443243/SRR14692756.1_2.fastq.gz,12590373,3802292646,12590373,302,1126,,A-3,simple,,A-3,,,,,,,no,,,,,,public,5416C9BDE296B12B4C91F2B0E2F0D790,D9997DCEA81F322914E6EDCFF5E54663
vp_0007,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101693,SAMN19460345,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692755.1_1.fastq.gz,s3://mybucket23443243/SRR14692755.1_2.fastq.gz,10815157,3266177414,10815157,302,967,,B-1,simple,,B-1,,,,,,,no,,,,,,public,45FA4FE424458FDABC7F0BEE885E8BD1,8BB1BA3AC4F93258187F6D78B55610E5
vp_0008,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101699,SAMN19460346,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692754.1_1.fastq.gz,s3://mybucket23443243/SRR14692754.1_2.fastq.gz,11627236,3511425272,11627236,302,1042,,B-2,simple,,B-2,,,,,,,no,,,,,,public,995D0F9A0953DD181AB45BE87865C529,9EFEA69679D5E5307932EF6C0951ACA2
vp_0009,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101695,SAMN19460347,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692753.1_1.fastq.gz,s3://mybucket23443243/SRR14692753.1_2.fastq.gz,12422948,3751730296,12422948,302,1109,,B-3,simple,,B-3,,,,,,,no,,,,,,public,DE066BC2B2A2DCE95C57A63279A777D7,DD00772599222ABC9DE3B6C0681EC851
vp_0010,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101696,SAMN19460348,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692752.1_1.fastq.gz,s3://mybucket23443243/SRR14692752.1_2.fastq.gz,18565017,5606635134,18565017,302,1666,,C-1,simple,,C-1,,,,,,,no,,,,,,public,415BC9685F0C9B6181375E14ABA879FD,EDAA67DFD4D50B05873BB9655C2C58AE
vp_0011,31/01/2023 0:19,670,Vibrio parahaemolyticus,,,,Vibrio parahaemolyticus,PAIRED,ILLUMINA,Illumina HiSeq 2000,,SRP321982,PRJNA733855,733855,SRS9101697,SAMN19460349,SRA1238717,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,SHANGHAI OCEAN UNIVERSITY,0,0,,,,,,,,s3://mybucket23443243/SRR14692751.1_1.fastq.gz,s3://mybucket23443243/SRR14692751.1_2.fastq.gz,10830618,3270846636,10830618,302,986,,C-2,simple,,C-2,,,,,,,no,,,,,,public,7014FF72566BA9F624AFD0D3D1446160,C39244071EE82B15C4559EC095127971
